id_conta;ID_CLIENTE;Agência;Tipo de Conta;Saldo Atual;Data Abertura ;STATUS;Limite Cheque Especial
CT-00897;CLT-0308;0347;c/c;R$ 156.33;21-01-2025;Encerrada;R$ 5.000,00
CT-00704;CLT-0171;0102;c/c;3.271,43;25/08/2025;Ativa;R$ 2.500,00
CT-00412;CLT-0707;1200;Corrente;(31.258,47);04-10-2016;ativa;2.500,00
CT-00732;CLT-0766;0102;CC;R$ 65.939,95;20/08/2016;ativa;1000.00
CT-00424;CLT-0695;1200;Corrente;9.759,16;2017-03-07;Encerrada;5000.00
CT-00234;CLT-0301 ;0347;Poupança;30181,34;01-03-2025;ativa;R$ 5.000,00
CT-00324;CLT-0268;0521;Corrente;20917,79;09/12/2019;ATIVA;5000.00
CT-00284;CLT-0260;0102;Corrente;R$ 76.511,72;2015-04-28;Ativa;500.00
CT-00286;CLT-0648;0102;Corrente;R$ 84.593,43;2015-05-17;bloqueada;5000.00
CT-00014;CLT-0106;0521;Corrente;29396.99;17/07/22;Ativa;R$ 1000.00
CT-00793;CLT-0695;0521;POUPANÇA;R$ 27621.38;14/03/19;Encerrada;2.500,00
CT-00845;CLT-0518;1200;corrente;84469.79;2019-02-22;encerrada;2500,00
CT-00855;CLT-0599;0521;CC;R$ 41665.92;2019-09-21;ATIVA;R$ 5.000,00
CT-00925;CLT-0828;0001;Corrente;19.229,23;30/04/2023;encerrada;R$ 5.000,00
CT-00706;CLT-0291;0001;CORRENTE;30708,71;09/09/2022;Encerrada;0,00
CT-00740;CLT-0619;1200;corrente;35314.42;2021-07-23;encerrada;10000.00
CT-00128;CLT-0083;0521;Conta Salário;28143.81;19/08/2018;Encerrada;R$ 10.000,00
CT-00262;clt-0398;0102;Corrente;34003.14;2023-10-13;ATIVA;R$ 1.000,00
CT-00775;CLT-0200;0521;CORRENTE;R$ 21248.46;2015-01-17;Ativa;0.00
CT-00376;CLT-0801;0347;POUPANÇA;51.949,69;13-06-2018;Ativa;
CT-00788;CLT-0293;1200;Salário;57491.11;19/05/23;Ativa;2.500,00
CT-00008;CLT-0758;0102;CORRENTE;54760.62;2015-08-08;Ativa;2.500,00
CT-00477;CLT-0500;0001;CORRENTE;61.874,38;02/10/2017;Encerrada;10000,00
CT-00543;CLT-0577;0001;Salário;R$ 82.886,93;2024-08-16;ativa;R$ 1.000,00
CT-00469;CLT-0612;0347;Poupança;R$ 77.943,12;2021-06-06;Ativa;R$ 1.000,00
CT-00877;CLT-0455;0001;POUPANÇA;R$ 2.765,15;2016-10-17;Bloqueada;1000.00
CT-00035;CLT-0042;0034;POUPANCA;7.014,31;25/04/2025;Ativa;R$ 2.500,00
CT-00656;CLT-0360;0521;Corrente;R$ 13905.69;07/02/2021;Ativa;0,00
CT-00592;CLT-0138;0102;CC;R$ 17385.55;2022-09-27;ATIVA;5.000,00
CT-00394;CLT-0708;1200;poupanca;R$ 14.558,94;2018-12-23;Ativa;500.00
CT-00843;CLT-0033;1200;Poupança;78.560,46;2024-08-11;Encerrada;R$ 500,00
CT-00579;CLT-0828;0102;Corrente;51265.17;22/10/2017;encerrada;1000.00
CT-00672;CLT-0314;0034;Corrente;(38.494,37);2026-07-17;ATIVA;R$ 0,00
CT-00856;CLT-0829;0102;corrente;5.687,87;10-jul-2015;Ativa;10000.00
CT-00889;CLT-0515;0347;Poupança;R$ 20042.92;13/11/2024;Bloqueada;10.000,00
CT-00448;CLT-0201 ;0001;salário;N/A;27-08-2022;Ativa;10000.00
CT-00235;CLT-0741;1200;Poupança;75904,50;28-11-2022;ATIVA;R$ 10.000,00
CT-00473;CLT-0229;0102;Poupança;R$ 63.917,44;03-07-2018;Ativa;1000,00
CT-00305;CLT-0407;0001;Corrente;11298,52;14/04/20;ATIVA;10000,00
CT-00946;CLT-0034;0102;corrente;R$ 79.029,90;16/06/22;ATIVA;R$ 5.000,00
CT-00230;CLT-0175;0347;CORRENTE;69319,53;29/09/2024;Ativa;1000.00
CT-00909;CLT-0083;0347;corrente;18.014,01;2026-02-28;ativa;0.00
CT-00009;CLT-0803;0034;c/c;R$ 41.976,56;2018-06-03;Encerrada;R$ 1.000,00
CT-00248;CLT-0593;0034;CORRENTE;R$ 69.692,13;19-02-2020;ativa;1.000,00
CT-00278;CLT-0645;0001;CC;70.911,93;15/02/2022;Ativa;R$ 2.500,00
CT-00725;CLT-0364;0034;Poupança;;22/03/2019;ATIVA;R$ 1.000,00
CT-00570;CLT-0193;0001;corrente;R$ 3451.85;27-06-2023;Ativa;2500,00
CT-00499;CLT-0430;0521;Poupança;61317.71;11/06/2020;ATIVA;R$ 0,00
CT-00598;CLT-0246;0001;CORRENTE;R$ 63.082,83;07/08/2025;Ativa;10000.00
CT-00321;CLT-0006;0001;Corrente;R$ 74.644,03;13/01/2015;Ativa;5.000,00
CT-00555;CLT-0666;1200;POUPANCA;(40.943,67);2020-06-29;Ativa;5000.00
CT-00342;CLT-0344;0001;c/c;11287.83;2023-10-07;Ativa;R$ 0,00
CT-00541;CLT-0334;0034;Corrente;83560.24;2024-01-26;Bloqueada;
CT-00506;CLT-0375;0001;Poupança;24.477,20;22/12/16;Ativa;500,00
CT-00430;CLT-0501;0001;CORRENTE;R$ 66068.87;22-07-2022;ativa;R$ 0.00
CT-00069;CLT-0052;0102;Poupança;36.130,98;29/12/2017;Ativa;10000.00
CT-00147;CLT-0715;0034;CC;82.859,52;25/07/2026;ativa;R$ 10000.00
CT-00911;CLT-0807;0347;poupança;R$ 69.153,13;29/07/2025;Ativa;R$ 0,00
CT-00432;CLT-0354;1200;CC;R$ 62122.29;27-07-2017;Ativa;10000,00
CT-00055;CLT-0462;0102;salário;R$ 80.198,29;2023-09-03;ATIVA;5.000,00
CT-00166;CLT-0375;0347;poupança;30985,45;07/02/2019;ativa;0,00
CT-00594;CLT-0757;0001;CC;33381.30;2015-09-21;encerrada;2.500,00
CT-00292;CLT-0317;0521;corrente;82599,17;12-abr-2018;Encerrada;R$ 1.000,00
CT-00085;CLT-0192;1200;CORRENTE;(2.489,98);2015-01-28;Ativa;-
CT-00225;CLT-0532;0521;Corrente;R$ 34.664,81;15/03/2015;Ativa;R$ 500,00
CT-00746;CLT-0431;0001;Corrente;57410.58;08-09-2016;Ativa;0.00
CT-00188;CLT-0419;0034;Salário;R$ 26.110,69;10-09-2025;ativa;2.500,00
CT-00336;CLT-0384;0347;Corrente;33466,67;2023-03-20;;2500,00
CT-00010;CLT-0463;0034;Corrente;R$ 22.338,79;21-06-2021;ATIVA;500,00
CT-00585;CLT-0682;0347;corrente;890,09;2017-12-03;encerrada;2500.00
CT-00731;CLT-0308;0347;CC;20438.04;24-10-2017;bloqueada;5000.00
CT-00531;CLT-0468 ;0001;corrente;22971,74;13/09/2019;Ativa;0.00
CT-00045;CLT-0390;0521;Corrente;R$ 5.759,45;11/05/2020;ativa;R$ 10.000,00
CT-00822;CLT-0764;0347;Corrente;68.519,56;2019-05-21;ativa;R$ 10.000,00
CT-00118;CLT-0357;0347;poupança;74.140,83;02/02/2022;Ativa;2500.00
CT-00884;CLT-0278;0102;CC;51739,06;20/12/2021;Ativa;500,00
CT-00403;CLT-0307;0102;salario;37109.79;19/11/2020;ATIVA;10000.00
CT-00180;CLT-0226;0001;POUPANCA;56.138,37;30/06/2022;bloqueada;2500.00
