Id_Emprestimo,cliente_id,Produto ,Valor Contratado,Taxa Juros a.m.,Qtd Parcelas,Parcelas Pagas,Data Contratação,Situação
EMP-0229,CLT-0795,FV,"2.250,67",,60,48 ,12/12/22,em dia
EMP-0167,CLT-0497,financiamento veicular,"R$ 58.356,51",1.26,240,124,2022-01-04,Em dia
EMP-0312,CLT-0056,credito pessoal,"57167,75",,12,2,2024-06-06,em analise
EMP-0304,CLT-0451,credito pessoal,237181.49,0.0343,72,60,2021-02-19,Em dia
EMP-0007,CLT-0050,credito imobiliario,"R$ 8.166,14",3.0% a.m.,24,7,06-jul-2019,Quitado
EMP-0291,CLT-0420,CONSIGNADO,"R$ 25.852,89","4,8%",240,141 ,04/02/2018,Em dia
EMP-0005,CLT-0665,CONSIGNADO,"36500,78",5.4% a.m.,120,74 ,09-08-2023,EM DIA
EMP-0065,CLT-0697,Fin. Veicular,"334.645,38",,24,17,2025-10-18,ATRASADO
EMP-0273,CLT-0468,credito pessoal,R$ 7785.89,"1,0%",60,18,05/03/2020,
EMP-0130,CLT-0512,Financiamento Veicular,"R$ 35.638,61",5.02,72,29,09/06/18,quitado
EMP-0117,CLT-0231,Financiamento Veicular,"222.033,96",2.26,48,18,13/09/2019,ATRASADO
EMP-0185,CLT-0157,CP,"9.941,69",3.4% a.m.,120,15,18/01/2021,Em dia
EMP-0307,CLT-0786,CONSIGNADO,"5540,52","4,0%",120,124 ,2018-11-30,Em dia
EMP-0143,CLT-0646,Consignado,-,"1,3%",48,33 ,2024-04-19,Quitado
EMP-0349,CLT-0294,FV,"31.301,70",0.0454,12,8,30-08-2018,EM DIA
EMP-0099,CLT-0201,Financiamento Veicular,"R$ 1.018,52",,60,2,2023-04-14,Em dia
EMP-0164,CLT-0053,CONSIGNADO,17168.18,2.67,12,1 ,13-02-2019,Em análise
EMP-0199,CLT-0129,Crédito Pessoal,R$ 6977.72,"3,3%",120,50 ,2026-06-09,Quitado
EMP-0333,CLT-0161,Financiamento Veicular,9085.71,4.04,24,8,2026-05-03,Em análise
EMP-0172,CLT-0556,credito pessoal,"394130,48",0.0539,36,17,19/01/20,atrasado
EMP-0063,CLT-0482,Fin. Veicular,"R$ 16.604,68",3.2% a.m.,12,10 ,2019-12-19,Quitado
EMP-0075,CLT-0224,credito imobiliario,"R$ 4.799,30",0.0115,24,19,2019-10-30,Em dia
EMP-0157,CLT-0135,financiamento veicular,"22736,79","2,6%",48,35,2023-11-03,em analise
