ID TRANSACAO,id conta,Data/Hora,Tipo Transação,VALOR,Canal,Descrição
TRX001982,CT-00883,2026-06-18 10:29,DOC,R$ 1360.90,AGENCIA,PAG*MercadoLivre
TRX001610,CT-00763,18-01-2026,TED,"R$ 11.721,33",APP,AMAZON MKTPLACE
TRX001847,CT-00746,15/12/2025,saque,-660.56,APP,TARIFA PACOTE SERVICOS
TRX000275,CT-00933,01/03/2026,Pagamento,"R$ 37,87",AGENCIA,IFOOD *IFOOD
TRX001131,CT-00865,2026-07-29 06:24,Saque,"R$ 273,08",agencia,FARMACIA SAO JOAO
TRX001595,CT-00525,08/06/2026 12:25,TED,"R$ 905,71",,UBER *TRIP
TRX000546,CT-00215,2026-04-11,Débito Cartão,413.35,agencia,PAG*MercadoLivre
TRX001194,CT-00678,15-mar-2026 04:18,Compra Débito,"218,84",,  PADARIA DO ZE  
TRX000596,CT-00301,2026-06-09,DEPOSITO,R$ 88.08,AGENCIA,RENDIMENTO POUPANCA
TRX001069,CT-00316,28/06/2026,debito cartao,"12.056,09",,PAG*MercadoLivre
TRX000012,CT-00485,2026-05-22,Pix,"846,88",APP,UBER *TRIP
TRX000076,CT-00128,24-09-2025 13:53,Boleto,-253.94,caixa eletronico,  PADARIA DO ZE  
TRX000821,CT-00946,19/08/2025 23:21,Boleto,"286,72",,  PADARIA DO ZE  
TRX000360,CT-00341,2025-09-14 08:29,saque,"R$ 10,63",App,  PADARIA DO ZE  
TRX001874,CT-00118,2025-12-02,Boleto,"234,28",agencia,TARIFA PACOTE SERVICOS
TRX001881,CT-00841,25/09/2025,boleto,,Aplicativo,AMAZON MKTPLACE
TRX000360,CT-00341,2025-09-14 08:29,saque,"R$ 10,63",App,  PADARIA DO ZE  
TRX000522,CT-00279,12/12/2025,BOLETO,6377.57,APP,PAG*MercadoLivre
TRX001969,CT-00032,03-11-2025 23:57,Boleto,"R$ 93,81",ATM,TARIFA PACOTE SERVICOS
TRX001164,CT-00201,27/05/2026 16:04,Boleto,"R$ 1.376,49",caixa eletronico,FOLHA PAGAMENTO
TRX000474,CT-00829,2025-12-06 04:59,PIX,"-1.363,15",caixa eletronico,TARIFA PACOTE SERVICOS
TRX001621,CT-00872,15/04/2026,boleto,"-113,80",IB,RENDIMENTO POUPANCA
TRX000324,CT-00518,2025-11-06 23:06,TED,R$ 14149.13,App,  PADARIA DO ZE  
TRX000210,CT-00330,14/07/2026 19:06,Compra Débito,41.77,Aplicativo,PIX QR CODE
TRX000274,CT-00758,07/11/2025,Débito Cartão,"245,97",ATM,TARIFA PACOTE SERVICOS
TRX000989,CT-00723,2025-11-03 16:40,Pix,"R$ 1.876,54",APP,PAG*MercadoLivre
TRX000356,CT-00079,01-04-2026,pagto,"R$ 155,69",,TARIFA PACOTE SERVICOS
TRX001623,CT-00595,2026-04-05 23:27,saque,R$ 206.87,,SUPERMERCADO BOM PRECO
TRX001252,CT-00453,24/02/2026 10:14,Depósito,23.62,internet banking,POSTO SHELL BR
TRX002055,CT-00455,2026-02-01 23:51,TED,"R$ 44,50",Internet Banking,RENDIMENTO POUPANCA
TRX001893,CT-00726,2026-07-18,Boleto,R$ 282.94,Caixa Eletrônico,UBER *TRIP
TRX000517,CT-00699,09/02/2026 23:20,PIX,"R$ 18,11",App,IFOOD *IFOOD
TRX001387,CT-00497,24/06/2026 17:38,Débito Cartão,"816,40",caixa eletronico,IFOOD *IFOOD
TRX000393,CT-00245,01/06/2026,BOLETO,12275.67,Agência,TARIFA PACOTE SERVICOS
TRX001935,CT-00003,31/01/2026 20:58,deposito,"R$ 99,78",agencia,PIX QR CODE
TRX001157,CT-00450,01/09/2025 19:33,Pagamento,"R$ 197,88",caixa eletronico,PIX QR CODE
TRX001567,CT-00947,2026-01-28,ted,"154,98",AGENCIA,AMAZON MKTPLACE
TRX000226,CT-00803,01/08/2025,Pagamento,N/A,,IFOOD *IFOOD
