id_emprestimo,cliente_id,produto,valor_contratado,taxa_juros_a.m.,qtd_parcelas,parcelas_pagas,data_contratacao,situacao
EMP-0229,CLT-0795,fv,2250.67,,60,48,2022-12-12,em dia
EMP-0167,CLT-0497,financiamento veicular,58356.51,1.26,240,124,2022-01-04,em dia
EMP-0312,CLT-0056,credito pessoal,57167.75,,12,2,2024-06-06,em analise
EMP-0304,CLT-0451,credito pessoal,237181.49,0.0343,72,60,2021-02-19,em dia
EMP-0007,CLT-0050,credito imobiliario,8166.14,3.0,24,7,2019-06-07,quitado
EMP-0291,CLT-0420,consignado,25852.89,4.8,240,141,2018-04-02,em dia
EMP-0005,CLT-0665,consignado,36500.78,5.4,120,74,2023-09-08,em dia
EMP-0065,CLT-0697,fin. veicular,334645.38,,24,17,2025-10-18,atrasado
EMP-0273,CLT-0468,credito pessoal,7785.89,1.0,60,18,2020-05-03,
EMP-0130,CLT-0512,financiamento veicular,35638.61,5.02,72,29,2018-09-06,quitado
EMP-0117,CLT-0231,financiamento veicular,222033.96,2.26,48,18,2019-09-13,atrasado
EMP-0185,CLT-0157,cp,9941.69,3.4,120,15,2021-01-18,em dia
EMP-0307,CLT-0786,consignado,5540.52,4.0,120,124,2018-11-30,em dia
EMP-0143,CLT-0646,consignado,,1.3,48,33,2024-04-19,quitado
EMP-0349,CLT-0294,fv,31301.7,0.0454,12,8,2018-08-30,em dia
EMP-0099,CLT-0201,financiamento veicular,1018.52,,60,2,2023-04-14,em dia
EMP-0164,CLT-0053,consignado,17168.18,2.67,12,1,2019-02-13,em análise
EMP-0199,CLT-0129,crédito pessoal,6977.72,3.3,120,50,2026-06-09,quitado
EMP-0333,CLT-0161,financiamento veicular,9085.71,4.04,24,8,2026-05-03,em análise
EMP-0172,CLT-0556,credito pessoal,394130.48,0.0539,36,17,2020-01-19,atrasado
EMP-0063,CLT-0482,fin. veicular,16604.68,3.2,12,10,2019-12-19,quitado
EMP-0075,CLT-0224,credito imobiliario,4799.3,0.0115,24,19,2019-10-30,em dia
EMP-0157,CLT-0135,financiamento veicular,22736.79,2.6,48,35,2023-11-03,em analise
EMP-0248,CLT-0368,fv,8079.37,5.4,60,22,2024-12-03,em dia
EMP-0204,CLT-0039,fin. veicular,4118.24,0.0189,24,20,2018-01-22,em dia
EMP-0133,CLT-0749,ci,5161.89,3.2,24,21,2019-01-13,em análise
