id_transacao,id_conta,data_e_hora,tipo_transacao,valor,canal,descricao
TRX001982,CT-00883,2026-06-18 10:29:00,doc,1360.9,agencia,PAG*MERCADOLIVRE
TRX001610,CT-00763,2026-01-18 00:00:00,ted,11721.33,app,AMAZON MKTPLACE
TRX001847,CT-00746,2025-12-15 00:00:00,saque,-660.56,app,TARIFA PACOTE SERVICOS
TRX000275,CT-00933,2026-01-03 00:00:00,pagamento,37.87,agencia,IFOOD *IFOOD
TRX001131,CT-00865,2026-07-29 06:24:00,saque,273.08,agencia,FARMACIA SAO JOAO
TRX001595,CT-00525,2026-08-06 12:25:00,ted,905.71,,UBER *TRIP
TRX000546,CT-00215,2026-04-11 00:00:00,débitocartão,413.35,agencia,PAG*MERCADOLIVRE
TRX001194,CT-00678,2026-03-15 04:18:00,compradébito,218.84,,PADARIA DO ZE
TRX000596,CT-00301,2026-06-09 00:00:00,deposito,88.08,agencia,RENDIMENTO POUPANCA
TRX001069,CT-00316,2026-06-28 00:00:00,debitocartao,12056.09,,PAG*MERCADOLIVRE
TRX000012,CT-00485,2026-05-22 00:00:00,pix,846.88,app,UBER *TRIP
TRX000076,CT-00128,2025-09-24 13:53:00,boleto,-253.94,caixaeletronico,PADARIA DO ZE
TRX000821,CT-00946,2025-08-19 23:21:00,boleto,286.72,,PADARIA DO ZE
TRX000360,CT-00341,2025-09-14 08:29:00,saque,10.63,app,PADARIA DO ZE
TRX001874,CT-00118,2025-12-02 00:00:00,boleto,234.28,agencia,TARIFA PACOTE SERVICOS
TRX001881,CT-00841,2025-09-25 00:00:00,boleto,,aplicativo,AMAZON MKTPLACE
TRX000360,CT-00341,2025-09-14 08:29:00,saque,10.63,app,PADARIA DO ZE
TRX000522,CT-00279,2025-12-12 00:00:00,boleto,6377.57,app,PAG*MERCADOLIVRE
TRX001969,CT-00032,2025-03-11 23:57:00,boleto,93.81,atm,TARIFA PACOTE SERVICOS
TRX001164,CT-00201,2026-05-27 16:04:00,boleto,1376.49,caixaeletronico,FOLHA PAGAMENTO
TRX000474,CT-00829,2025-12-06 04:59:00,pix,-1363.15,caixaeletronico,TARIFA PACOTE SERVICOS
TRX001621,CT-00872,2026-04-15 00:00:00,boleto,-113.8,ib,RENDIMENTO POUPANCA
TRX000324,CT-00518,2025-11-06 23:06:00,ted,14149.13,app,PADARIA DO ZE
TRX000210,CT-00330,2026-07-14 19:06:00,compradébito,41.77,aplicativo,PIX QR CODE
TRX000274,CT-00758,2025-07-11 00:00:00,débitocartão,245.97,atm,TARIFA PACOTE SERVICOS
TRX000989,CT-00723,2025-11-03 16:40:00,pix,1876.54,app,PAG*MERCADOLIVRE
TRX000356,CT-00079,2026-01-04 00:00:00,pagto,155.69,,TARIFA PACOTE SERVICOS
TRX001623,CT-00595,2026-04-05 23:27:00,saque,206.87,,SUPERMERCADO BOM PRECO
TRX001252,CT-00453,2026-02-24 10:14:00,depósito,23.62,internetbanking,POSTO SHELL BR
TRX002055,CT-00455,2026-02-01 23:51:00,ted,44.5,internetbanking,RENDIMENTO POUPANCA
TRX001893,CT-00726,2026-07-18 00:00:00,boleto,282.94,caixaeletrônico,UBER *TRIP
TRX000517,CT-00699,2026-09-02 23:20:00,pix,18.11,app,IFOOD *IFOOD
TRX001387,CT-00497,2026-06-24 17:38:00,débitocartão,816.4,caixaeletronico,IFOOD *IFOOD
TRX000393,CT-00245,2026-01-06 00:00:00,boleto,12275.67,agência,TARIFA PACOTE SERVICOS
